Serial No.,GRE Score,TOEFL Score,University Rating,SOP,LOR ,CGPA,Research,Chance of Admit 
262,312,104,3,3.5,4.0,8.09,0,0.71
307,323,110,3,4.0,3.5,9.1,1,0.79
293,302,99,2,1.0,2.0,7.97,0,0.56
52,312,100,2,1.5,3.5,7.9,1,0.56
37,299,106,2,4.0,4.0,8.4,0,0.64
371,310,103,2,2.5,2.5,8.24,0,0.72
299,330,114,3,4.5,4.5,9.24,1,0.9
253,318,100,2,2.5,3.5,8.54,1,0.71
404,330,116,4,4.0,3.5,9.23,1,0.91
310,308,110,4,3.5,3.0,8.6,0,0.7
496,332,108,5,4.5,4.0,9.02,1,0.87
248,311,104,2,2.5,3.5,8.48,0,0.71
135,333,113,5,4.0,4.0,9.28,1,0.89
50,327,111,4,3.0,4.0,8.4,1,0.78
447,327,118,4,5.0,5.0,9.67,1,0.93
420,308,102,2,2.0,3.5,7.98,1,0.58
150,311,106,2,3.5,3.0,8.26,1,0.79
383,324,110,4,4.5,4.0,9.15,1,0.82
73,321,111,5,5.0,5.0,9.45,1,0.93
270,308,108,4,4.5,5.0,8.34,0,0.77
117,299,102,3,4.0,3.5,8.62,0,0.56
247,316,105,3,3.0,3.5,8.73,0,0.72
108,338,117,4,3.5,4.5,9.46,1,0.91
459,312,100,1,3.0,3.0,8.53,1,0.69
252,316,99,2,2.5,3.0,9.0,0,0.7
74,314,108,4,4.5,4.0,9.04,1,0.84
205,298,105,3,3.5,4.0,8.54,0,0.69
286,331,116,5,4.0,4.0,9.26,1,0.93
431,311,104,3,4.0,3.5,8.13,1,0.74
57,316,102,3,2.0,3.0,7.4,0,0.64
257,309,99,3,4.0,4.0,8.56,0,0.76
25,336,119,5,4.0,3.5,9.8,1,0.97
395,329,111,4,4.5,4.0,9.23,1,0.89
353,303,100,2,3.0,3.5,8.06,1,0.64
63,304,105,2,3.0,3.0,8.2,1,0.54
482,323,107,4,3.0,2.5,8.48,1,0.78
139,326,116,2,4.5,3.0,9.08,1,0.8
255,321,114,4,4.0,5.0,9.12,0,0.85
6,330,115,5,4.5,3.0,9.34,1,0.9
126,300,100,3,2.0,3.0,8.66,1,0.64
211,325,108,4,4.5,4.0,9.06,1,0.79
285,340,112,4,5.0,4.5,9.66,1,0.94
144,340,120,4,4.5,4.0,9.92,1,0.97
287,336,118,5,4.5,4.0,9.19,1,0.92
238,329,114,5,4.5,5.0,9.19,1,0.86
461,319,105,4,4.0,4.5,8.66,1,0.77
28,298,98,2,1.5,2.5,7.5,1,0.44
360,321,107,2,2.0,1.5,8.44,0,0.81
386,335,117,5,5.0,5.0,9.82,1,0.96
140,318,109,1,3.5,3.5,9.12,0,0.78
79,296,95,2,3.0,2.0,7.54,1,0.44
92,299,97,3,5.0,3.5,7.66,0,0.38
151,334,114,4,4.0,4.0,9.43,1,0.93
58,298,99,2,4.0,2.0,7.6,0,0.46
3,316,104,3,3.0,3.5,8.0,1,0.72
44,332,117,4,4.5,4.0,9.1,0,0.87
234,304,100,2,2.5,3.5,8.07,0,0.64
136,314,109,4,3.5,4.0,8.77,1,0.82
174,323,113,4,4.0,4.5,9.23,1,0.89
456,305,102,2,1.5,2.5,7.64,0,0.59
17,317,107,3,4.0,3.0,8.7,0,0.66
354,300,102,3,3.5,2.5,8.17,0,0.63
275,315,100,1,2.0,2.5,7.95,0,0.58
265,325,110,2,3.0,2.5,8.76,1,0.75
421,299,100,3,2.0,3.0,7.42,0,0.42
56,320,103,3,3.0,3.0,7.7,0,0.64
398,330,116,4,5.0,4.5,9.45,1,0.91
172,334,117,5,4.0,4.5,9.07,1,0.89
410,300,98,1,2.0,2.5,8.02,0,0.61
207,315,99,2,3.5,3.0,7.89,0,0.63
445,324,113,5,4.0,5.0,9.25,1,0.92
263,308,103,2,2.5,4.0,8.36,1,0.7
141,329,110,2,4.0,3.0,9.15,1,0.84
34,340,114,5,4.0,4.0,9.6,1,0.9
113,301,107,3,3.5,3.5,8.34,1,0.62
225,305,105,2,3.0,2.0,8.23,0,0.67
22,325,114,4,3.0,2.0,8.4,0,0.7
42,316,105,2,2.5,2.5,8.2,1,0.49
379,303,98,1,2.0,2.5,7.65,0,0.56
206,295,99,2,2.5,3.0,7.65,0,0.57
414,317,101,3,3.0,2.0,7.94,1,0.49
46,322,110,5,5.0,4.0,9.1,1,0.88
190,324,112,5,5.0,5.0,9.08,1,0.88
228,312,110,2,3.5,3.0,8.53,0,0.64
62,307,101,3,4.0,3.0,8.2,0,0.47
53,334,116,4,4.0,3.0,8.0,1,0.78
438,317,106,1,1.5,3.5,7.65,1,0.61
230,324,111,4,3.0,3.0,9.01,1,0.82
352,325,110,4,3.5,4.0,8.67,1,0.73
185,316,106,2,2.5,4.0,8.32,0,0.72
15,311,104,3,3.5,2.0,8.2,1,0.61
358,301,104,2,3.5,3.5,7.89,1,0.68
266,313,102,3,2.5,2.5,8.68,0,0.71
244,325,114,3,3.5,3.0,9.04,1,0.76
330,297,96,2,2.5,1.5,7.89,0,0.43
173,322,110,4,4.0,5.0,9.13,1,0.86
463,307,105,4,3.0,3.0,7.94,0,0.62
370,301,98,1,2.0,3.0,8.03,1,0.67
272,299,96,2,1.5,2.0,7.86,0,0.54
367,320,104,3,3.5,4.5,8.34,1,0.74
305,313,106,2,2.5,2.0,8.43,0,0.62
134,323,112,5,4.0,4.5,8.78,0,0.79
466,305,96,4,3.0,4.5,8.26,0,0.54
490,302,110,3,4.0,4.5,8.5,0,0.65
271,306,105,2,2.5,3.0,8.22,1,0.72
109,331,116,5,5.0,5.0,9.38,1,0.93
101,322,107,3,3.5,3.5,8.46,1,0.71
306,321,109,3,3.5,3.5,8.8,1,0.74
425,325,114,5,4.0,5.0,9.46,1,0.91
318,300,99,1,1.0,2.5,8.01,0,0.58
192,323,110,5,4.0,5.0,8.98,1,0.87
105,326,112,3,3.5,3.0,9.05,1,0.74
165,329,111,4,4.5,4.0,9.01,1,0.81
460,329,113,4,4.0,3.5,9.36,1,0.89
224,308,109,2,3.0,4.0,8.45,0,0.71
157,315,105,3,2.0,2.5,8.34,0,0.7
218,321,109,4,4.0,4.0,9.13,1,0.85
290,313,109,3,4.0,3.5,9.0,0,0.79
387,302,101,2,2.5,3.5,7.96,0,0.46
325,315,104,3,3.0,2.5,8.33,0,0.67
32,327,103,3,4.0,4.0,8.3,1,0.74
302,319,108,2,2.5,3.0,8.76,0,0.66
408,298,100,3,2.5,4.0,7.95,1,0.58
409,297,101,3,2.0,4.0,7.67,1,0.57
324,305,102,2,2.0,2.5,8.18,0,0.62
429,316,103,2,2.0,4.5,8.74,0,0.69
104,317,104,2,4.5,4.0,8.47,0,0.57
40,307,108,2,4.0,3.5,7.7,0,0.48
246,328,110,4,4.0,2.5,9.02,1,0.81
193,322,114,5,4.5,4.0,8.94,1,0.86
183,299,100,2,3.0,3.5,7.88,0,0.68
277,329,113,5,5.0,4.5,9.45,1,0.89
394,317,104,2,3.0,3.0,8.76,0,0.77
124,308,108,3,3.5,3.5,8.22,0,0.61
154,324,105,3,3.0,4.0,8.75,0,0.79
418,316,103,3,3.5,2.0,7.68,0,0.52
68,316,107,2,3.5,3.5,8.64,1,0.57
451,320,112,4,3.0,4.5,8.86,1,0.82
107,329,111,4,4.5,4.5,9.18,1,0.87
405,311,101,3,2.0,2.5,7.64,1,0.62
342,326,110,3,3.5,3.5,8.76,1,0.79
311,320,104,3,3.0,3.5,8.74,1,0.76
55,322,110,3,3.0,3.5,8.0,0,0.7
250,321,111,3,3.5,4.0,8.83,1,0.77
19,318,110,3,4.0,3.0,8.8,0,0.63
450,315,101,3,3.5,4.5,9.13,0,0.79
75,314,106,3,3.0,5.0,8.9,0,0.74
493,298,101,4,2.5,4.5,7.69,1,0.53
122,334,119,5,4.5,4.5,9.48,1,0.94
304,323,107,3,3.5,3.5,8.55,1,0.73
308,325,112,4,4.0,4.0,9.0,1,0.8
229,318,112,3,4.0,3.5,8.67,0,0.71
100,323,113,3,4.0,4.0,8.88,1,0.79
39,304,105,1,3.0,1.5,7.5,0,0.52
384,300,100,3,3.0,3.5,8.26,0,0.62
441,305,104,2,2.5,1.5,7.79,0,0.53
48,339,119,5,4.5,4.0,9.7,0,0.89
341,312,107,3,3.0,3.0,8.46,1,0.75
54,324,112,4,4.0,2.5,8.1,1,0.72
233,312,107,2,2.5,3.5,8.27,0,0.69
292,300,102,2,1.5,2.0,7.87,0,0.56
499,312,103,4,4.0,5.0,8.43,0,0.73
41,308,110,3,3.5,3.0,8.0,1,0.46
333,308,106,3,3.5,2.5,8.21,1,0.75
340,324,107,5,3.5,4.0,8.66,1,0.81
29,295,93,1,2.0,2.0,7.2,0,0.46
33,338,118,4,3.0,4.5,9.4,1,0.91
12,327,111,4,4.0,4.5,9.0,1,0.84
469,323,110,4,4.0,5.0,8.88,1,0.81
390,320,108,3,3.5,4.0,8.44,1,0.76
249,324,110,3,3.5,4.0,8.87,1,0.8
497,337,117,5,5.0,5.0,9.87,1,0.96
261,327,108,5,5.0,3.5,9.13,1,0.87
453,328,116,4,5.0,3.5,9.6,1,0.93
436,309,105,2,2.5,4.0,7.68,0,0.55
223,324,113,4,4.5,4.0,8.79,0,0.76
76,329,114,2,2.0,4.0,8.56,1,0.72
106,316,110,3,4.0,4.5,8.78,1,0.69
320,327,113,4,3.5,3.0,8.69,1,0.8
188,335,118,5,4.5,3.5,9.44,1,0.93
476,300,101,3,3.5,2.5,7.88,0,0.59
396,324,110,3,3.5,3.5,9.04,1,0.82
116,310,106,4,4.5,4.5,9.04,1,0.66
10,323,108,3,3.5,3.0,8.6,0,0.45
348,299,94,1,1.0,1.0,7.34,0,0.42
235,330,113,5,5.0,4.0,9.31,1,0.91
61,309,100,2,3.0,3.0,8.1,0,0.48
361,322,110,3,4.0,5.0,8.64,1,0.85
88,317,107,2,3.5,3.0,8.28,0,0.66
498,330,120,5,4.5,5.0,9.56,1,0.93
403,324,109,3,3.5,3.0,8.94,1,0.78
201,317,103,3,2.5,3.0,8.54,1,0.73
319,324,111,3,2.5,2.0,8.8,1,0.79
231,313,104,3,4.0,4.5,8.65,0,0.73
181,300,104,3,3.5,3.0,8.16,0,0.71
393,326,112,4,4.0,3.5,9.12,1,0.84
222,316,110,3,3.5,4.0,8.56,0,0.75
111,305,108,5,3.0,3.0,8.48,0,0.61
213,338,120,4,5.0,5.0,9.66,1,0.95
480,325,110,4,4.5,4.0,8.96,1,0.79
416,327,106,4,4.0,4.5,8.75,1,0.76
210,301,104,3,3.5,4.0,8.12,1,0.68
155,326,108,3,3.0,3.5,8.89,0,0.8
470,326,114,4,4.0,3.5,9.16,1,0.86
16,314,105,3,3.5,2.5,8.3,0,0.54
437,310,110,1,1.5,4.0,7.23,1,0.58
72,336,112,5,5.0,5.0,9.76,1,0.96
280,304,102,2,3.0,4.0,8.73,0,0.67
152,332,116,5,5.0,5.0,9.28,1,0.94
300,305,112,3,3.0,3.5,8.65,0,0.71
417,315,104,3,4.0,2.5,8.1,0,0.65
195,316,109,3,3.5,3.0,8.76,0,0.77
9,302,102,1,2.0,1.5,8.0,0,0.5
465,298,97,2,2.0,3.0,7.21,0,0.45
200,313,107,3,4.0,4.5,8.69,0,0.72
129,326,112,3,3.5,3.0,9.1,1,0.84
186,327,113,4,4.5,4.5,9.11,1,0.89
148,326,114,3,3.0,3.0,9.11,1,0.83
51,313,98,3,2.5,4.5,8.3,1,0.76
91,318,106,2,4.0,4.0,7.92,1,0.64
127,323,113,3,4.0,3.0,9.32,1,0.85
397,325,107,3,3.0,3.5,9.11,1,0.84
82,340,120,4,5.0,5.0,9.5,1,0.96
220,312,104,3,3.5,3.5,8.42,0,0.74
391,314,102,2,2.0,2.5,8.24,0,0.64
94,301,97,2,3.0,3.0,7.88,1,0.44
328,295,101,2,2.5,2.0,7.86,0,0.69
125,301,106,4,2.5,3.0,8.47,0,0.57
474,316,102,2,4.0,3.5,8.15,0,0.67
338,332,118,5,5.0,5.0,9.47,1,0.94
462,301,102,3,2.5,2.0,8.13,1,0.68
419,309,111,2,2.5,4.0,8.03,0,0.6
86,319,103,4,4.5,3.5,8.66,0,0.76
170,311,99,2,2.5,3.0,7.98,0,0.65
288,324,114,5,5.0,4.5,9.08,1,0.89
350,313,101,3,2.5,3.0,8.04,0,0.62
327,299,100,3,2.0,2.0,8.02,0,0.63
268,314,107,3,3.0,3.5,8.17,1,0.73
149,339,116,4,4.0,3.5,9.8,1,0.96
440,312,105,2,1.5,3.0,8.46,0,0.66
433,324,112,4,4.5,4.0,9.22,1,0.86
378,290,100,1,1.5,2.0,7.56,0,0.47
335,312,107,4,4.5,4.0,8.65,1,0.73
217,322,112,4,4.5,4.5,9.26,1,0.91
119,296,99,2,3.0,3.5,7.28,0,0.47
110,304,103,5,5.0,4.0,8.64,0,0.68
301,309,106,2,2.5,2.5,8.0,0,0.62
202,315,110,2,3.5,3.0,8.46,1,0.72
413,314,102,4,2.5,2.0,7.88,1,0.59
495,301,99,3,2.5,2.0,8.45,1,0.68
309,312,108,3,3.5,3.0,8.53,0,0.69
38,300,105,1,1.0,2.0,7.8,0,0.58
458,295,99,1,2.0,1.5,7.57,0,0.37
322,323,104,3,4.0,4.0,8.44,1,0.73
279,308,103,2,3.0,3.5,8.49,0,0.66
314,301,100,3,3.5,3.0,8.04,0,0.67
83,320,110,5,5.0,4.5,9.22,1,0.92
278,320,101,2,2.5,3.0,8.62,0,0.7
444,321,114,5,4.5,4.5,9.16,1,0.87
432,320,112,2,3.5,3.5,8.78,1,0.73
203,340,120,5,4.5,4.5,9.91,1,0.97
365,313,102,3,3.5,4.0,8.9,1,0.77
89,314,108,3,4.5,3.5,8.14,0,0.64
298,320,120,3,4.0,4.5,9.11,0,0.86
284,321,111,3,2.5,3.0,8.9,1,0.8
87,315,106,3,4.5,3.5,8.42,0,0.72
423,322,112,4,3.5,2.5,9.02,1,0.73
331,327,113,3,3.5,3.0,8.66,1,0.8
283,312,106,3,4.0,3.5,8.79,1,0.81
376,304,101,2,2.0,2.5,7.66,0,0.38
343,308,106,3,3.0,3.0,8.24,0,0.58
145,325,112,2,3.0,3.5,8.96,1,0.8
131,339,114,5,4.0,4.5,9.76,1,0.96
492,297,99,4,3.0,3.5,7.81,0,0.54
14,307,109,3,4.0,3.0,8.0,1,0.62
178,319,110,3,3.5,3.5,9.04,0,0.82
369,298,92,1,2.0,2.0,7.88,0,0.51
381,322,104,3,3.5,4.0,8.84,1,0.78
245,314,107,2,2.5,4.0,8.56,0,0.63
485,317,106,3,3.5,3.0,7.89,1,0.73
65,325,111,3,3.0,3.5,8.7,0,0.52
382,319,105,3,3.0,3.5,8.67,1,0.73
329,324,112,4,4.0,3.5,8.77,1,0.8
21,312,107,3,3.0,2.0,7.9,1,0.64
23,328,116,5,5.0,5.0,9.5,1,0.94
5,314,103,2,2.0,3.0,8.21,0,0.65
443,331,116,4,4.5,4.5,9.44,1,0.92
237,325,112,4,4.0,4.5,9.17,1,0.85
373,336,119,4,4.5,4.0,9.62,1,0.95
153,321,112,5,5.0,5.0,9.06,1,0.86
472,311,103,3,2.0,4.0,8.09,0,0.64
26,340,120,5,4.5,4.5,9.6,1,0.94
295,316,101,2,2.5,2.0,8.32,1,0.61
179,309,108,3,2.5,3.0,8.12,0,0.72
130,333,118,5,5.0,5.0,9.35,1,0.92
296,317,100,2,3.0,2.5,8.57,0,0.68
180,307,102,3,3.0,3.0,8.27,0,0.73
219,324,110,4,3.0,3.5,8.97,1,0.84
479,318,103,3,4.0,4.5,8.49,1,0.71
337,319,110,3,3.0,2.5,8.79,0,0.72
158,309,104,2,2.0,2.5,8.26,0,0.65
452,324,113,4,4.5,4.5,9.25,1,0.89
96,304,100,4,1.5,2.5,7.84,0,0.42
267,312,105,2,2.0,2.5,8.45,0,0.72
171,312,101,2,2.5,3.5,8.04,1,0.68
160,297,100,1,1.5,2.0,7.9,0,0.52
133,309,105,5,3.5,3.5,8.56,0,0.71
97,306,100,2,3.0,3.0,8.0,0,0.48
345,295,96,2,1.5,2.0,7.34,0,0.47
388,307,105,2,2.0,3.5,8.1,0,0.53
359,314,105,2,2.5,2.0,7.64,0,0.7
128,319,112,3,2.5,2.0,8.71,1,0.78
407,322,103,4,3.0,2.5,8.02,1,0.61
351,318,107,3,3.0,3.5,8.27,1,0.74
467,314,99,4,3.5,4.5,8.73,1,0.71
216,330,116,5,5.0,4.5,9.36,1,0.93
226,296,99,2,2.5,2.5,8.03,0,0.61
43,313,107,2,2.5,2.0,8.5,1,0.53
434,316,111,4,4.0,5.0,8.54,0,0.71
481,321,102,3,3.5,4.0,9.01,1,0.8
260,331,119,4,5.0,4.5,9.34,1,0.9
385,340,113,4,5.0,5.0,9.74,1,0.96
251,320,104,3,3.0,2.5,8.57,1,0.74
85,340,115,5,4.5,4.5,9.45,1,0.94
112,321,109,4,4.0,4.0,8.68,1,0.69
49,321,110,3,3.5,5.0,8.85,1,0.82
80,294,93,1,1.5,2.0,7.36,0,0.46
363,338,115,5,4.5,5.0,9.23,1,0.91
303,322,105,2,3.0,3.0,8.45,1,0.65
120,327,104,5,3.0,3.5,8.84,1,0.71
60,311,104,2,2.0,2.0,8.3,0,0.42
488,327,115,4,3.5,4.0,9.14,0,0.79
446,328,116,5,4.5,5.0,9.08,1,0.91
471,320,110,5,4.0,4.0,9.27,1,0.87
197,306,105,2,3.0,2.5,8.26,0,0.73
276,322,110,3,3.5,3.0,8.96,1,0.78
146,320,113,2,2.0,2.5,8.64,1,0.81
123,310,106,4,1.5,2.5,8.36,0,0.57
364,306,103,2,2.5,3.0,8.36,0,0.69
175,321,111,4,4.0,4.0,8.97,1,0.87
64,315,107,2,4.0,3.0,8.5,1,0.56
236,326,111,5,4.5,4.0,9.23,1,0.88
326,326,116,3,3.5,4.0,9.14,1,0.81
332,311,105,2,3.0,2.0,8.12,1,0.73
412,313,94,2,2.5,1.5,8.13,0,0.56
487,319,102,3,2.5,2.5,8.37,0,0.68
339,323,108,5,4.0,4.0,8.74,1,0.81
176,320,111,4,4.5,3.5,8.87,1,0.85
297,310,107,3,3.5,3.5,8.67,0,0.76
103,314,106,2,4.0,3.5,8.25,0,0.62
161,315,103,1,1.5,2.0,7.86,0,0.57
336,325,111,4,4.0,4.5,9.11,1,0.83
362,334,116,4,4.0,3.5,9.54,1,0.93
164,317,105,3,3.5,3.0,8.56,0,0.68
468,318,101,5,3.5,5.0,8.78,1,0.78
36,320,110,5,5.0,5.0,9.2,1,0.88
189,331,115,5,4.5,3.5,9.36,1,0.93
168,313,102,3,2.0,3.0,8.27,0,0.64
356,317,106,2,2.0,3.5,8.12,0,0.73
464,304,107,3,3.5,3.0,7.86,0,0.57
118,290,104,4,2.0,2.5,7.46,0,0.45
240,299,100,1,1.5,2.0,7.89,0,0.59
489,322,112,3,3.0,4.0,8.62,1,0.76
177,329,119,4,4.5,4.5,9.16,1,0.9
273,294,95,1,1.5,1.5,7.64,0,0.49
347,304,97,2,1.5,2.0,7.64,0,0.47
156,312,109,3,3.0,3.0,8.69,0,0.77
400,333,117,4,5.0,4.0,9.66,1,0.95
454,319,103,3,2.5,4.0,8.76,1,0.73
66,325,112,4,3.5,3.5,8.92,0,0.55
137,312,103,3,5.0,4.0,8.45,0,0.76
13,328,112,4,4.0,4.5,9.1,1,0.78
259,326,102,4,5.0,5.0,8.76,1,0.77
69,318,109,3,3.5,4.0,9.22,1,0.68
346,316,98,1,1.5,2.0,7.43,0,0.49
191,324,111,5,4.5,4.0,9.16,1,0.9
20,303,102,3,3.5,3.0,8.5,0,0.62
7,321,109,3,3.0,4.0,8.2,1,0.75
199,311,104,3,4.5,4.5,8.43,0,0.7
323,314,107,2,2.5,4.0,8.27,0,0.72
239,310,104,3,2.0,3.5,8.37,0,0.7
475,308,105,4,3.0,2.5,7.95,1,0.67
138,316,100,2,1.5,3.0,8.16,1,0.71
424,334,119,5,4.5,5.0,9.54,1,0.94
114,320,110,2,4.0,3.5,8.56,0,0.72
47,329,114,5,4.0,5.0,9.3,1,0.86
198,310,106,2,3.5,2.5,8.33,0,0.73
377,297,96,2,2.5,2.0,7.43,0,0.34
70,328,115,4,4.5,4.0,9.16,1,0.78
402,315,105,2,3.0,3.0,8.34,0,0.66
30,310,99,2,1.5,2.0,7.3,0,0.54
366,330,114,4,4.5,3.0,9.17,1,0.86
31,300,97,2,3.0,3.0,8.1,1,0.65
427,312,106,3,3.0,5.0,8.57,0,0.71
67,327,114,3,3.0,3.0,9.02,0,0.61
1,337,118,4,4.5,4.5,9.65,1,0.92
399,312,103,3,3.5,4.0,8.78,0,0.67
